FileID,Word Num,Normalized,Language,w/n/naw,Element
ashd0008,1,י,he,naw,"<orig xml:id=""ashd0008-1"" xml:lang=""he"">י</orig>"
ashk0018,1,משמר,he,w,"<w xml:id=""ashk0018-1"" xml:lang=""he"">משמר</w>"
ashk0018,2,שנים,he,w,"<w xml:id=""ashk0018-2"" xml:lang=""he""><supplied reason=""lost"">שנים</supplied></w>"
ashk0018,3,עשר,he,w,"<w xml:id=""ashk0018-3"" xml:lang=""he""><supplied reason=""lost"">עשר</supplied></w>"
ashk0018,4,משמר,he,w,"<w xml:id=""ashk0018-4"" xml:lang=""he"">משמר</w>"
ashk0018,5,שלושה,he,w,"<w xml:id=""ashk0018-5"" xml:lang=""he""><supplied reason=""lost"">שלושה</supplied></w>"
ashk0018,6,עשר,he,w,"<w xml:id=""ashk0018-6"" xml:lang=""he""><supplied reason=""lost"">עשר</supplied></w>"
ashk0018,7,משמר,he,w,"<w xml:id=""ashk0018-7"" xml:lang=""he"">משמר</w>"
ashk0018,8,ארבעה,he,w,"<w xml:id=""ashk0018-8"" xml:lang=""he"">א<supplied reason=""lost"">רבעה</supplied></w>"
ashk0018,9,עשר,he,w,"<w xml:id=""ashk0018-9"" xml:lang=""he""><supplied reason=""lost"">עשר</supplied></w>"
caes0688,1,שלםצין,he,w,"<w xml:id=""caes0688-1"" xml:lang=""he"">שלםצין</w>"
caes0688,2,בת,he,w,"<w xml:id=""caes0688-2"" xml:lang=""he"">בת</w>"
goph0002,1,בילגה,he,w,"<w xml:id=""goph0002-1"" xml:lang=""he""><supplied reason=""lost"">בי</supplied>לגה</w>"
isfi0002,1,שליום,he,w,"<w xml:id=""isfi0002-1"" xml:lang=""he"">שליום</w>"
isfi0002,2,עלישראל,he,w,"<w xml:id=""isfi0002-2"" xml:lang=""he""><supplied reason=""lost"">ע</supplied>לישראל</w>"
jaff0102,1,הקבר,he,w,"<w xml:id=""jaff0102-1"" xml:lang=""he"">הקבר</w>"
jaff0102,2,הזה,he,w,"<w xml:id=""jaff0102-2"" xml:lang=""he"">הזה</w>"
jaff0102,3,שלרב,he,w,"<w xml:id=""jaff0102-3"" xml:lang=""he"">שלרב</w>"
jaff0102,4,יודן,he,w,"<w xml:id=""jaff0102-4"" xml:lang=""he"">יודן</w>"
jaff0102,5,הכהן,he,w,"<w xml:id=""jaff0102-5"" xml:lang=""he"">הכהן</w>"
jaff0102,6,ברב,he,w,"<w xml:id=""jaff0102-6"" xml:lang=""he"">ברב</w>"
jaff0102,7,נוח,he,w,"<w xml:id=""jaff0102-7"" xml:lang=""he"">נוח</w>"
jaff0102,8,נפש,he,w,"<w xml:id=""jaff0102-8"" xml:lang=""he"">נפש</w>"
jaff0102,9,שכן,he,w,"<w xml:id=""jaff0102-9"" xml:lang=""he"">שכן</w>"
jaff0102,10,לוד,he,w,"<w xml:id=""jaff0102-10"" xml:lang=""he"">לוד</w>"
jaff0104,1,חייא,he,w,"<w xml:id=""jaff0104-1"" xml:lang=""he"">חייא</w>"
jaff0104,2,בן,he,w,"<w xml:id=""jaff0104-2"" xml:lang=""he"">בן</w>"
jaff0104,3,אלעזר,he,w,"<w xml:id=""jaff0104-3"" xml:lang=""he"">אלעזר</w>"
jaff0105,1,חנניה,he,w,"<w xml:id=""jaff0105-1"" xml:lang=""he"">חנניה</w>"
jaff0105,2,בן,he,w,"<w xml:id=""jaff0105-2"" xml:lang=""he"">בן</w>"
jaff0105,3,רבי,he,w,"<w xml:id=""jaff0105-3"" xml:lang=""he"">רבי</w>"
jaff0105,4,ם,he,naw,"<orig xml:id=""jaff0105-4"" xml:lang=""he"">ם</orig>"
jaff0105,5,שמן,he,w,"<w xml:id=""jaff0105-5"" xml:lang=""he"">שמן</w>"
jaff0105,6,דריה,he,naw,"<orig xml:id=""jaff0105-6"" xml:lang=""he"">דריה</orig>"
jaff0105,7,שלום,he,w,"<w xml:id=""jaff0105-7"" xml:lang=""he""><supplied reason=""lost"">של</supplied>ום</w>"
jaff0106,1,זה,he,w,"<w xml:id=""jaff0106-1"" xml:lang=""he""><supplied reason=""lost"">זה</supplied></w>"
jaff0106,2,מקום,he,w,"<w xml:id=""jaff0106-2"" xml:lang=""he"">מקום</w>"
jaff0106,3,הציעתו,he,w,"<w xml:id=""jaff0106-3"" xml:lang=""he"">הציעתו</w>"
jaff0106,4,של,he,w,"<w xml:id=""jaff0106-4"" xml:lang=""he"">של</w>"
jaff0106,5,לעזר,he,w,"<w xml:id=""jaff0106-5"" xml:lang=""he""><supplied reason=""omitted"">ל</supplied>עזר</w>"
jaff0106,6,בן,he,w,"<w xml:id=""jaff0106-6"" xml:lang=""he"">בן</w>"
jaff0106,7,יהושוע,he,w,"<w xml:id=""jaff0106-7"" xml:lang=""he"">יהושוע</w>"
jaff0106,8,שלום,he,w,"<w xml:id=""jaff0106-8"" xml:lang=""he"">שלום</w>"
jaff0106,9,מאמא,he,w,"<w xml:id=""jaff0106-9"" xml:lang=""he"">מאמא</w>"
jaff0106,10,ושלום,he,w,"<w xml:id=""jaff0106-10"" xml:lang=""he"">ושלום</w>"
jaff0107,1,תנחום,he,w,"<w xml:id=""jaff0107-1"" xml:lang=""he"">תנחום</w>"
jaff0107,2,ביריבי,he,w,"<w xml:id=""jaff0107-2"" xml:lang=""he"">ביריבי</w>"
jaff0107,3,שלום,he,w,"<w xml:id=""jaff0107-3"" xml:lang=""he"">שלום</w>"
jaff0108,1,ריאן,he,naw,"<orig xml:id=""jaff0108-1"" xml:lang=""he"">ריאן</orig>"
jaff0108,2,קירא,he,w,"<w xml:id=""jaff0108-2"" xml:lang=""he"">קירא</w>"
jaff0108,3,ברתה,he,w,"<w xml:id=""jaff0108-3"" xml:lang=""he"">ברתה</w>"
jaff0108,4,דבי,he,w,"<w xml:id=""jaff0108-4"" xml:lang=""he"">דבי</w>"
jaff0108,5,יסנא,he,w,"<w xml:id=""jaff0108-5"" xml:lang=""he"">יסנא</w>"
jaff0108,6,לוית,he,w,"<w xml:id=""jaff0108-6"" xml:lang=""he""><choice><unclear>לו</unclear><unclear>ית</unclear></choice></w>"
jeri0028,1,שלום,he,w,"<w xml:id=""jeri0028-1"" xml:lang=""he"">שלום</w>"
jeri0028,2,על,he,w,"<w xml:id=""jeri0028-2"" xml:lang=""he"">על</w>"
jeri0028,3,ישראל,he,w,"<w xml:id=""jeri0028-3"" xml:lang=""he"">ישראל</w>"
jeru0638,1,בלק,he,w,"<w xml:id=""jeru0638-1"" xml:lang=""he"">ב<choice><unclear>ל</unclear><unclear>ק</unclear></choice></w>"
jeru0638,2,לתמוז,he,w,"<w xml:id=""jeru0638-2"" xml:lang=""he"">לתמוז</w>"
jeru0638,3,שנת,he,w,"<w xml:id=""jeru0638-3"" xml:lang=""he"">שנת</w>"
jeru0638,4,תשעין,he,w,"<w xml:id=""jeru0638-4"" xml:lang=""he"">תשעין</w>"
jeru0638,5,ותשע,he,w,"<w xml:id=""jeru0638-5"" xml:lang=""he"">ותשע</w>"
jeru0638,6,להורקנוס,he,w,"<w xml:id=""jeru0638-6"" xml:lang=""he"">להורקנוס</w>"
jeru0638,7,התשצא,he,w,"<w xml:id=""jeru0638-7"" xml:lang=""he"">התשצא</w>"
jeru0638,8,ככא,he,w,"<w xml:id=""jeru0638-8"" xml:lang=""he"">ככא</w>"
jeru0638,9,לשמעון,he,w,"<w xml:id=""jeru0638-9"" xml:lang=""he"">לשמעון</w>"
jeru0659,1,ר,he,w,"<w xml:id=""jeru0659-1"" xml:lang=""he"">ר</w>"
jeru0659,2,'''',he,n,"<num xml:id=""jeru0659-2"" xml:lang=""he"" value=""4"">''''</num>"
jeru0659,3,''',he,n,"<num xml:id=""jeru0659-3"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,4,''',he,n,"<num xml:id=""jeru0659-4"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,5,שמעון,he,w,"<w xml:id=""jeru0659-5"" xml:lang=""he""><supplied reason=""lost"">ש</supplied>מעון</w>"
jeru0659,6,מ,he,w,"<w xml:id=""jeru0659-6"" xml:lang=""he"">מ</w>"
jeru0659,7,ר''''''''',he,n,"<num xml:id=""jeru0659-7"" xml:lang=""he"" value=""9""><supplied reason=""lost"">ר</supplied>'''''''''</num>"
jeru0659,8,מ,he,w,"<w xml:id=""jeru0659-8"" xml:lang=""he"">מ</w>"
jeru0659,9,''',he,n,"<num xml:id=""jeru0659-9"" xml:lang=""he"" value=""3"">'''</num>"
jeru0659,10,ר'''',he,n,"<num xml:id=""jeru0659-10"" xml:lang=""he"" value=""4""><supplied reason=""lost"">ר</supplied>''''</num>"
jeru0659,11,מ,he,w,"<w xml:id=""jeru0659-11"" xml:lang=""he"">מ</w>"
jeru0709,1,סרה,he,w,"<w xml:id=""jeru0709-1"" xml:lang=""he"">סרה</w>"
jeru0710,1,שפירא,he,w,"<w xml:id=""jeru0710-1"" xml:lang=""he""><supplied reason=""lost"">ש</supplied>פיר<supplied reason=""lost"">א</supplied></w>"
mero0003,1,דעל,he,w,"<w xml:id=""mero0003-1"" xml:lang=""he"">דעל</w>"
mero0003,2,חסדך,he,w,"<w xml:id=""mero0003-2"" xml:lang=""he"">חסדך</w>"
mero0003,3,ועל,he,w,"<w xml:id=""mero0003-3"" xml:lang=""he"">ועל</w>"
mero0003,4,אמתך,he,w,"<w xml:id=""mero0003-4"" xml:lang=""he"">אמתך</w>"
mero0003,5,בשם,he,w,"<w xml:id=""mero0003-5"" xml:lang=""he"">בשם</w>"
mero0003,6,יהוה,he,w,"<w xml:id=""mero0003-6"" xml:lang=""he"">יהוה</w>"
mero0003,7,נעשה,he,w,"<w xml:id=""mero0003-7"" xml:lang=""he"">נעשה</w>"
mero0003,8,ונצליח,he,w,"<w xml:id=""mero0003-8"" xml:lang=""he"">ונצליח</w>"
mero0003,9,אל,he,w,"<w xml:id=""mero0003-9"" xml:lang=""he"">אל</w>"
mero0003,10,חזק,he,w,"<w xml:id=""mero0003-10"" xml:lang=""he"">חזק</w>"
mero0003,11,וגיבור,he,w,"<w xml:id=""mero0003-11"" xml:lang=""he"">וגיבור</w>"
mero0003,12,ברוך,he,w,"<w xml:id=""mero0003-12"" xml:lang=""he"">ברוך</w>"
mero0003,13,שמך,he,w,"<w xml:id=""mero0003-13"" xml:lang=""he"">שמך</w>"
mero0003,14,וברוכה,he,w,"<w xml:id=""mero0003-14"" xml:lang=""he"">וברוכה</w>"
mero0003,15,מלכותך,he,w,"<w xml:id=""mero0003-15"" xml:lang=""he"">מלכותך</w>"
mero0003,16,היך,he,w,"<w xml:id=""mero0003-16"" xml:lang=""he"">היך</w>"
mero0003,17,דכבשת,he,w,"<w xml:id=""mero0003-17"" xml:lang=""he"">דכבשת</w>"
mero0003,18,ימה,he,w,"<w xml:id=""mero0003-18"" xml:lang=""he"">ימה</w>"
mero0003,19,בסוסיך,he,w,"<w xml:id=""mero0003-19"" xml:lang=""he"">בסוסיך</w>"
mero0003,20,ורקעת,he,w,"<w xml:id=""mero0003-20"" xml:lang=""he"">ורקעת</w>"
