FileID,Word Num,Normalized,Language,w/n/naw,Element
bett0005,1,SVM,la,naw,"<orig xml:id=""bett0005-1"" xml:lang=""la"">SVM</orig>"
bett0005,2,MARTI,la,naw,"<orig xml:id=""bett0005-2"" xml:lang=""la"">MARTI</orig>"
bett0005,3,V,la,naw,"<orig xml:id=""bett0005-3"" xml:lang=""la"">V</orig>"
bett0005,4,et,la,w,"<w xml:id=""bett0005-4"" xml:lang=""la"">et</w>"
bett0005,5,Victor,la,w,"<w xml:id=""bett0005-5"" xml:lang=""la"">Victor</w>"
bett0005,6,centur,la,naw,"<orig xml:id=""bett0005-6"" xml:lang=""la"">centur</orig>"
bett0005,7,vexillaariivexillaarii,la,w,"<w xml:id=""bett0005-7"" xml:lang=""la""><choice><unclear>vexil<supplied reason=""lost"">laarii</supplied></unclear><unclear>vexil<supplied reason=""lost"">laarii</supplied></unclear></choice></w>"
bett0005,8,legionum,la,w,"<w xml:id=""bett0005-8"" xml:lang=""la""><expan><abbr>leg</abbr><ex>ionum</ex></expan></w>"
bett0005,9,V,la,n,"<num xml:id=""bett0005-9"" xml:lang=""la"" value=""5"">V</num>"
bett0005,10,Macedonicae,la,w,"<w xml:id=""bett0005-10"" xml:lang=""la""><expan><abbr>Mac</abbr><ex>edonicae</ex></expan></w>"
bett0005,11,et,la,w,"<w xml:id=""bett0005-11"" xml:lang=""la"">et</w>"
bett0005,12,XI,la,n,"<num xml:id=""bett0005-12"" xml:lang=""la"" value=""11"">XI</num>"
bett0005,13,Claudiae,la,w,"<w xml:id=""bett0005-13"" xml:lang=""la""><expan><abbr>Cl</abbr><ex>audiae</ex></expan></w>"
bguv0106,1,Vexillatio,la,w,"<w xml:id=""bguv0106-1"" xml:lang=""la"">Vexillatio</w>"
bguv0106,2,legionis,la,w,"<w xml:id=""bguv0106-2"" xml:lang=""la""><expan><abbr>leg</abbr><ex>ionis</ex></expan></w>"
bguv0106,3,VI,la,n,"<num xml:id=""bguv0106-3"" xml:lang=""la"" value=""6"">VI</num>"
bguv0106,4,Ferratae,la,w,"<w xml:id=""bguv0106-4"" xml:lang=""la""><expan><abbr>Ferr</abbr><ex>atae</ex></expan></w>"
bleh0010,1,centuria,la,w,"<w xml:id=""bleh0010-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
