Normalized,Occurrences,Lemma,POS,NormalizedID,MorphoNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
בעת,akko0027-1,עֵת,Noun,w-בעת,PreLets-1 Pre_Prep Pre_NotDef Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לבן,akko0027-2,לָבָן,Propername,w-לבן,Propername Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חדש,akko0027-3,חָדָשׁ,Adj,w-חדש,Adj Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אש,"akko0027-4, akko0027-8, jeru0530-5",אֵשׁ,Noun,w-אש,Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגר,akko0027-5,אַגְרָא,Noun,w-אגר,Aramaic Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ו,"akko0027-6, akko0027-30, unkn0106-10",ו,Num,w-ו,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בעלשאלת,akko0027-7,?,Noun,w-בעלשאלת,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
על,"akko0027-9, odob0020-7, nabl0006-9, beth0223-6, beth0223-7, idum0087-9, idum0094-11, idum0159-8, idum0164-9, mare0029-2, mare0091-5, mger0001-5, mger0002-4, mger0002-6, mger0004-4, mger0005-5, mger0016-2, mger0017-4, mger0027-6, mger0030-3, mger0047-2, mger0048-4, mger0053-3, mger0059-2, mger0068-3, mger0071-5, mger0072-3, mger0073-3, mger0078-3, mger0084-3, mger0089-2, mger0090-2, mger0093-1, mger0096-4, mger0098-2, mger0118-1, mger0119-1, mger0120-1, mger0121-1, mger0122-1, mger0123-1, mger0124-1, mger0135-1, mger0137-1, mger0145-2, mger0149-5, mger0154-3, mger0167-1, mger0170-2, mger0175-3, mger0201-3, mger0201-6, mger0297-1, mger0323-2, mger0395-9, tibe0003-3, unkn0107-39, yavn0002-24, zoor0421-26, zoor0423-28, zoor0429-26, zoor0430-19, zoor0434-35, zoor0434-40, zoor0437-26, zoor0440-30, zoor0451-13, zoor0458-23, zoor0459-24, zoor0460-27",עַל,Propername,w-על,Propername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשרת,akko0027-10,שָׁרֵת,Noun,w-אשרת,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גלנם,akko0027-11,?,Noun,w-גלנם,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וממלאם,akko0027-13,מְלַאי,Noun,w-וממלאם,PreLets-2 Pre_Conj Pre_Prep Pre_NotDef Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_Masc Suf_Pl Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ופכש,akko0027-15,?,Noun,w-ופכש,PreLets-1 Pre_Conj Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ת,"akko0027-16, unkn0107-33, zoor0431-27",ת,Num,w-ת,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אדרת,akko0027-17,אַדֶּרֶת,Noun,w-אדרת,Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולנם,akko0027-22,נום_פעל,Verb,w-ולנם,Aramaic PreLets-2 Pre_Conj Pre_Prep Pre_NotDef Verb Fem Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולגמם,akko0027-26,לֹגֶם,Noun,w-ולגמם,PreLets-1 Pre_Conj Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_Masc Suf_Pl Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מיפחת,akko0027-31,מִפְחָת,Noun,w-מיפחת,Noun Masc Sing Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ובקרת,akko0027-35,בִּקֹּרֶת,Noun,w-ובקרת,PreLets-1 Pre_Conj Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
צערת,akko0027-36,צער_פעֵל,Verb,w-צערת,Aramaic Verb Masc Sing P2 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ב,"idum0020-1, idum0003-1, idum0004-1, idum0006-1, idum0007-1, idum0008-1, idum0010a-1, idum0012-6, idum0015-1, idum0017-1, idum0018-1, idum0019-1, idum0021-1, idum0022-1, idum0023-1, idum0024-1, idum0025-1, idum0026-1, idum0027-1, idum0028-1, idum0029-1, idum0030-1, idum0033-1, idum0034-1, idum0035-1, idum0036-1, idum0037-1, idum0038-9, idum0039-7, idum0041-7, idum0042-1, idum0044-1, idum0046-1, idum0048-1, idum0049-1, idum0050-1, idum0057-1, idum0058-5, idum0059-8, idum0059-14, idum0060-4, idum0061-1, idum0062-1, idum0063-1, idum0065-10, idum0066-10, idum0067-10, idum0070-7, idum0071-9, idum0073-1, idum0074-1, idum0075-1, idum0076-1, idum0078-1, idum0079-1, idum0080-1, idum0081-8, idum0083-1, idum0084-1, idum0086-1, idum0087-1, idum0088-1, idum0089-1, idum0090-1, idum0091-1, idum0092-1, idum0094-1, idum0098-1, idum0099-1, idum0100-1, idum0103-6, idum0104-1, idum0105-10, idum0107-1, idum0108-11, idum0108-16, idum0110-1, idum0111-1, idum0113-8, idum0113-14, idum0114-6, idum0118-1, idum0119-12, idum0120-1, idum0121-1, idum0122-1, idum0123-1, idum0124-1, idum0125-1, idum0126-1, idum0127-9, idum0128-1, idum0129-1, idum0134-6, idum0135-1, idum0136-1, idum0143-9, idum0145-9, idum0146-9, idum0147-8, idum0148-1, idum0149-1, idum0152-1, idum0153-1, idum0156-1, idum0157-1, idum0159-1, idum0160-11, idum0161-1, idum0162-1, idum0164-1, idum0166-1, idum0168-1, idum0169-1, idum0170-1, idum0173-9, idum0175-1, idum0176-1, idum0205-10, idum0206-7, idum0208-1, idum0212-1, idum0215-11, idum0216-1, idum0216-13, idum0217-1, idum0218-10, idum0220-1, idum0221-1, idum0222-5, idum0225-1, idum0226-1, idum0228-6, idum0230-4, idum0232-1, idum0295-5, idum0297-14, idum0299-8, idum0301-11, idum0303-10, idum0307-1, idum0308-1, idum0309a-1, idum0310-1, idum0312-1, idum0314-1, idum0315-1, idum0316-5, idum0317-1, idum0319-1, idum0326-1, idum0327-1, idum0328-10, idum0329-1, idum0331-1, idum0332-1, idum0333-1, idum0334-1, idum0335-1, idum0336-1, idum0337-1, idum0341-1, idum0376-1, idum0385-1, idum0386-1, idum0420-1, idum0421-1, idum0422-5, idum0427-1, idum0429-1, idum0433-1, idum0441-1, idum0447-6, idum0452-1, idum0453-7, idum0454-1, idum0455-1, idum0460-1, idum0461-1, idum0462-1, idum0464-1, idum0465-7, idum0466-1, idum0467-1, idum0468-1, idum0469-1, idum0473-1, idum0474-1, idum0475-1, idum0477-1, idum0479-1, idum0480-1, idum0481-1, idum0482-1, idum0485-7, idum0488-1, idum0490-1, idum0491-1, idum0492-1, idum0493-4, idum0497-1, idum0498-6, idum0508-1, idum0509-1, idum0512-1, idum0514-6, idum0518-1, idum0521-1, idum0522-1, idum0522-6, idum0523-5, idum0524-7, idum0525-1, idum0526-1, idum0527-1, idum0529-1, idum0531a-1, idum0531a-10, idum0531b-1, idum0532-4, idum0533-8, idum0534-1, idum0535-1, idum0536-1, idum0537a-1, idum0538-6, idum0539-1, idum0540-1, idum0544-1, idum0545-4, idum0546-1, idum0548-5, idum0549-3, idum0550-5, idum0551-5, idum0552-11, idum0553-1, idum0554-1, idum0562-4, idum0563-1, idum0564-1, idum0565-1, idum0567-1, idum0568-1, idum0569-1, idum0570-1, idum0573-1, idum0574-1, idum0575-1, idum0577-1, idum0578-1, idum0579-1, idum0580-1, idum0581-1, idum0582-4, idum0587-1, idum0588-5, idum0589-1, idum0590-1, idum0591-4, idum0592-1, idum0593-5, idum0594-3, idum0596-1, idum0598-1, idum0600-1, idum0601-1, idum0602-1, idum0604-1, idum0604-9, idum0608-6, idum0610-1, idum0610-5, idum0611-2, idum0612-1, idum0613-1, idum0614-1, idum0615-1, idum0616-1, idum0618a-1, idum0618b-1, idum0619-1, idum0621-9, idum0623-1, idum0624-4, idum0625-1, idum0626-1, idum0627-1, idum0629-1, idum0631-1, idum0632-3, idum0633-3, idum0635-4, idum0636-4, idum0637-1, idum0638-1, idum0639-4, idum0640-1, idum0641-1, idum0642-1, idum0643-6, idum0644-7, idum0645-1, idum0646-5, idum0647-3, idum0648-1, idum0649-1, idum0650-1, idum0652-1, idum0653-1, idum0654-3, idum0656-6, idum0660-1, idum0661-1, idum0663-1, idum0666-9, idum0667-7, idum0668-1, idum0670-1, idum0671-8, idum0672-1, idum0673-1, idum0674-1, idum0676-1, idum0677-1, idum0678-1, idum0679-1, idum0682-1, idum0683-1, jeru0446-1, jeru0446-4, mare0016-2, mare0070-1, mare0071-1, mare0074-1, mare0074-10, mare0075-1, mare0076-1, mare0077-1, mare0078-1, mare0079-1, mare0080-12, mare0082-3, masa0559-1, masa0560-1, masa0561-1, masa0565-1, masa0566-1, masa0568-1, masa0571-1, masa0574-1, masa0575-1, masa0575-7, masa0577-1, masa0582-1, masa0583-1, masa0584-1, mger0187-3, unkn0107-35, zoor0411-3, zoor0433-8",ב,Num,w-ב,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לתמוז,"idum0020-3, idum0003-3, idum0004-3, idum0017-3, idum0018-3, idum0019-3, idum0021-3, idum0022-3, idum0023-3, idum0024-3, idum0025-3, idum0026-3, idum0057-3, idum0060-6, idum0061-3, idum0062-3, idum0063-3, idum0090-3, idum0122-3, idum0156-3, idum0157-3, idum0166-3, idum0216-3, idum0217-3, idum0226-3, idum0307-2, idum0328-12, idum0329-3, idum0341-3, idum0385-3, idum0424-2, idum0425-2, idum0433-2, idum0437-2, idum0439-2, idum0448-2, idum0455-2, idum0477-2, idum0479-2, idum0487-2, idum0491-2, idum0497-2, idum0518-3, idum0519-1, idum0531a-3, idum0531a-12, idum0538-8, idum0553-3, idum0562-6, idum0600-2, idum0602-2, idum0608-8, idum0618a-3, idum0619-3, idum0625-3, idum0645-2, idum0650-2, idum0678-2, idum0679-3, mare0070-3",תַּמּוּז,Noun,w-לתמוז,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שנת,"idum0020-4, odob0027-7, idum0001-9, idum0007-4, idum0008-4, idum0010a-3, idum0011-8, idum0015-4, idum0017-4, idum0018-4, idum0019-4, idum0021-4, idum0022-4, idum0023-4, idum0025-4, idum0026-4, idum0028-4, idum0029-4, idum0030-4, idum0033-4, idum0034-4, idum0035-4, idum0036-4, idum0037-4, idum0042-4, idum0057-4, idum0058-8, idum0059-11, idum0060-7, idum0061-4, idum0062-4, idum0063-4, idum0065-13, idum0066-13, idum0067-13, idum0075-4, idum0076-3, idum0078-3, idum0079-4, idum0080-3, idum0086-4, idum0098-4, idum0099-4, idum0100-4, idum0105-13, idum0107-4, idum0108-14, idum0109-2, idum0110-9, idum0113-11, idum0118-4, idum0120-4, idum0122-4, idum0123-3, idum0124-4, idum0125-3, idum0126-3, idum0128-4, idum0142-1, idum0143-12, idum0146-12, idum0149-4, idum0152-4, idum0153-4, idum0156-4, idum0157-4, idum0159-4, idum0160-14, idum0161-4, idum0162-4, idum0164-4, idum0166-4, idum0168-4, idum0169-4, idum0172-4, idum0212-5, idum0216-4, idum0220-4, idum0225-4, idum0227-5, idum0297-7, idum0297-16, idum0307-3, idum0309a-4, idum0310-4, idum0312-4, idum0316-8, idum0317-4, idum0326-4, idum0327-4, idum0328-13, idum0332-4, idum0333-4, idum0334-4, idum0335-4, idum0336-4, idum0341-4, idum0376-4, idum0420-3, idum0422-7, idum0423-3, idum0424-3, idum0425-3, idum0427-3, idum0437-3, idum0438-3, idum0447-8, idum0448-3, idum0449-3, idum0450-3, idum0451-3, idum0452-3, idum0453-9, idum0454-3, idum0455-3, idum0460-4, idum0461-3, idum0464-10, idum0465-10, idum0466-4, idum0467-3, idum0468-3, idum0473-3, idum0474-3, idum0477-3, idum0478-2, idum0479-3, idum0480-4, idum0487-3, idum0489-2, idum0497-3, idum0508-4, idum0509-4, idum0518-4, idum0519-2, idum0520-3, idum0521-3, idum0523-8, idum0524-10, idum0525-4, idum0526-3, idum0527-3, idum0531a-4, idum0534-4, idum0535-4, idum0536-3, idum0537a-3, idum0537b-3, idum0539-4, idum0544-3, idum0545-7, idum0546-3, idum0548-8, idum0553-4, idum0554-4, idum0562-7, idum0563-3, idum0564-4, idum0568-4, idum0569-4, idum0570-4, idum0572-1, idum0573-4, idum0574-3, idum0575-3, idum0578-3, idum0579-3, idum0589-3, idum0590-4, idum0591-7, idum0592-3, idum0595-3, idum0596-3, idum0600-3, idum0601-3, idum0602-3, idum0603-5, idum0608-9, idum0610-3, idum0613-3, idum0614-3, idum0615-3, idum0618a-4, idum0619-4, idum0623-4, idum0624-7, idum0625-4, idum0626-4, idum0631-4, idum0632-5, idum0633-5, idum0636-7, idum0638-4, idum0640-3, idum0641-4, idum0642-3, idum0643-8, idum0645-3, idum0647-5, idum0648-4, idum0649-4, idum0650-3, idum0652-3, idum0653-3, idum0660-4, idum0661-4, idum0666-12, idum0667-10, idum0668-4, idum0670-3, idum0672-4, idum0673-4, idum0676-4, idum0677-4, idum0678-3, idum0682-3, idum0683-4, mare0071-3, mare0072-7, mare0074-3, mare0081-2, mare0136-3, unkn0104-2, unkn0105-5, zoor0394-7, zoor0395-7, zoor0396-7, zoor0398-7, zoor0399-6, zoor0401-16, zoor0403-10, zoor0404-14, zoor0405-19, zoor0407-14, zoor0408-12, zoor0409-16, zoor0410-16, zoor0412-14, zoor0413-20, zoor0414-17, zoor0415-13, zoor0416-24, zoor0417-1, zoor0418-18, zoor0419-12, zoor0420-20, zoor0421-12, zoor0421-14, zoor0422-17, zoor0423-17, zoor0426-12, zoor0427-17, zoor0428-18, zoor0428-20, zoor0429-16, zoor0430-11, zoor0433-19, zoor0434-15, zoor0434-24, zoor0435-14, zoor0436-13, zoor0437-16, zoor0438-15, zoor0439-15, zoor0440-20, zoor0442-15, zoor0444-7, zoor0447-5, zoor0451-5, zoor0452-12, zoor0456-4, zoor0458-12, zoor0459-15, zoor0460-16",שֵׁנָה,Noun,w-שנת,Noun Fem Sing Construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זידי,"idum0020-6, idum0316-1, idum0670-4, idum0671-1, idum0672-6",זֵד,Noun,w-זידי,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_MascFem Suf_Sing Suf_P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
