Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
,,,,,,"(y if yes) or historical, mythical, divine",,(y if yes),"(m, f, ?)","(Christian, Jewish, other, ?)",,,(y if yes),"(military, government, religious, honorific)",,,,,,,,,,,,"(month, day, year)",,,,,,,,,,,,
א,"jeru0357-20, jeru0357-26, jeru0492-5, jord0001-78, jord0001-93, jord0001-238, jord0001-267, jord0001-272, jord0001-278, jord0001-287, jord0001-383, jord0001-387, jord0001-389, jord0001-459, jord0001-530, jord0001-531, jord0001-564, jord0001-566, unkn0102-1",א,X,w-א,UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב,"beth0234-1, jord0001-258, jord0001-388",אָב,NOUN,w-אב,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אבא,"akld0023-3, jeru0492-2, jeru0492-12",אַבָּא,NOUN,w-אבא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אבי,masa0389-1,אֲבִי,NOUN,w-אבי,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,father,,,,,,,,,,,,,,,,,
אדם,jeru0534-2,אָדָם,NOUN,w-אדם,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אדני,mger0150-10,אֲדֹנָי,PROPN,w-אדני,[none],y,Adonai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אהרן,jeru0492-8,אַהֲרֹן,PROPN,w-אהרנ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Aharon,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוהבין,jord0001-419,אוֹהֵב,VERB,w-אוהבין,PARTICIPLE MASCULINE PLURAL PERSON_ANY ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אוכסנטים,mari0004-8,אֻכִּסְנָטִים,PROPN,w-אוכסנטים,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Auxentios,,,,,,,,,,,,,,,,,,,,,,,,,,,
אומר,jord0001-444,אמר,VERB,w-אומר,MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אושעיה,masa0384-1,אוֹשַׁעְיָה,PROPN,w-אושעיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Oshaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אותגלות,jord0001-261,,,w-אותגלות,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,exile,,,
אז,jord0001-562,אָז,ADV,w-אז,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אזביא,"jeru0456-2, jeru0456-4",אזביא,PROPN,w-אזביא,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Azbaya,,,,,,,,,,,,,,,,,,,,,,,,,,,
אח,qumr0001-24,אָח,NOUN,w-אח,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אחד,jord0001-210,אֶחָד,X,w-אחד,NUMBER MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
