Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
,,,,,,"(y if yes) or historical, mythical, divine",,(y if yes),"(m, f, ?)","(Christian, Jewish, other, ?)",,,(y if yes),"(military, government, religious, honorific)",,,,,,,,,,,,"(month, day, year)",,,,,,,,,,,,
a,masa0941-20,a,X,w-a,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac,caes0009-2,ac,CCONJ,w-ac,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adiutoribus,caes0682-3,adiutor,NOUN,w-adiutoribus,None,,,,,,,,,,,,,,,,,,,,,,,y,adiutor,,,,,,,,,
Aelio,"caes0011-1, caes0353-1, jeru0497-4",aelius,PROPN,w-aelio,None,,,y,m,other,Aelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilia,nabl0001-7,aemilius,ADJ,w-aemilia,None,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aemilius,masa0750-1,aemilius,PROPN,w-aemilius,None,,,y,m,other,Aemilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africano,caes0107-10,africanus,PROPN,w-africano,None,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africanus,caes0009-17,africanus,PROPN,w-africanus,None,,,y,m,other,Africanus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africe,jeru0495-6,Africes,PROPN,w-africe,None,y,Africe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippae,caes0032-6,agrippa,PROPN,w-agrippae,None,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrippam,caes0003-3,agrippa,PROPN,w-agrippam,None,,,y,m,other,Agrippa,,,,,,,,,,,,,,,,,,,,,,,,,,,
alae,tsha0001-2,aa,NOUN,w-alae,None,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
alam,yotv0001-14,ala,NOUN,w-alam,Case=accusative|Gender=feminine|Number=singular,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
Alamannico,maay0001-18,Alamannicus,PROPN,w-alamannico,None,,,,,,,,,,,,,y,tribe,,,,,,,,,,,,,,,,,,,
alis,unkn0130-29,ala,NOUN,w-alis,Case=ablative|Gender=feminine|Number=plural,,,,,,,,,,,y,ala,,,,,,,,,,,,,,,,,,,,,
amico,caes0002-10,amicus,NOUN,w-amico,Case=ablative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,friend,,,,,,,,,,,,,,,,,
amineum,"masa0796-1, masa0797-2",amineus,ADJ,w-amineum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,food,,,,,
amphorae,masa0826-6,amphora,PROPN,w-amphorae,None,,,,,,,,,,,,,,,,,,,,,,,,,,,y,utensil,,,,,
Anchararius,masa0755-1,Anchararius,PROPN,w-anchararius,None,,,y,m,other,Anchararius,,,,,,,,,,,,,,,,,,,,,,,,,,,
